prefixes	len	meaning	examples	paired words	POS pair	immediate viability	notes
acro	4	beginning, end, height, peak, summit, tip, top	acrophobia, acrobatic, acropolis	(all latin)	any	yes	
aero	4	air, atmosphere, aviation, gas	aeromechanics, aeronautical, aeromedicine	mechanic, nautical, medicine	any	yes	
after	5	following, lower, rear, resulting	afterthought, aftermarket, aftereffect	thought, market, effect	noun	yes	
ambi	4	both	ambisexuality, ambidextrous, ambiversion	sexuality, dextrous, version	any	yes	
ante	4	before, forward, prior or prior to	antechamber, antenuptial, antedating	chamber, nuptial, dating	any	yes	
anti	4	against, alleviating, curing, opposed, opposite, preventing	antidemocratic, anticapitalist, antibacterial	democratic, capitalist, bacterial	any	yes	
arch	4	chief, extreme, principal; original, primary, primitive	archaeologist, archetypical, archrival	-ologist, typical, rival	any	yes	
archi	5	chief, extreme, principal; original, primary, primitive	architectural, archipelago, archiepiscopal	-tectural, -pelago, episcopal	any	yes	
auto	4	automatic, same one, self or self-acting	autosuggestion, autoinfection, autobiographic	suggestion, infection, biographic	any	yes	
bi	2	between, double, two, twice; biographical, life	bipartisanship, bipolarization, bidirectionally	partisanship, polarization, directionally	any	yes	
bio	3	between, double, two, twice; biographical, life	bioluminescence, biogeochemistry, biotechnologist	luminescence, geochemistry, technologist	noun	yes	
chrono	6	time	chronobiologic, chronological, chronotherapy	biologic, logical, therapy	any	yes	
co	2	alternate, deputy, fellow, in or to the same degree, joint, partner, together, with	codetermination, coconspirator, copolymer	determination, conspirator, polymer	any	yes	
contra	6	against, contrary, contrasting	contraindicate, contraposition, contrabassist	indicate, position, bassist	any	yes	
counter	7	against, complementary, contrary, corresponding, duplicate, opposing, retaliatory, substitute	counterargument, countermeasure, counterfactual	argument, measure, factual	any	yes	
crypto	6	coded, covered, hidden	cryptozoologist, cryptographer, cryptologic	zoologist, grapher, logic	any	yes	
cyber	5	pertaining to computers or computer networks	cybercafe, cyberspace, cyberpunk	cafe, space, punk	any	yes	
dia	3	containing two, double, twice, twofold, daytime	diamagnetism, diametrically, diacritical	magnetism, metrically, critical	any	yes	
dis	3	absence or opposite of, completely, deprive of, do the opposite of, exclude or expel from, not	dissatisfaction, disadvantageous, disrespectfully	satisfaction, advantageous, respectfully	any	yes	
dys	3	abnormal, bad, difficult, impaired	dyslogistically, dysfunctional, dysphoric	logistically, functional, phoric	adjective	yes	
epi	3	after, attached to, besides, outer, over, upon	epiphenomenon, epicenter, epipen	phenomenon, center, pen	any	yes	
extra	5	beyond, outside	extralinguistic, extraordinary, extralogical	linguistic, ordinary, logical	any	yes	
extro	5	outward	extroversion, extrovert, extroverted	version, -vert, -verted	any	yes	
fore	4	at or in front, before, earlier	foresightedness, foreknowledge, foreshadowing	sightedness, knowledge, shadowing	any	yes	
geo	3	earth, ground, soil	geopolitically, geochronologic, geophysicists	politically, chronologic, physicists	any	yes	
hyper	5	above, beyond, excessive	hypercorrection, hyperinflation, hyperreactive	correction, inflation, reactive	any	yes	
