suffix	len	meaning	examples	paired words	POS pair	immediate viability	notes
ac	2	pertaining to	cardiac, hemophiliac, maniac	cardia, hemophilia, mania	noun	yes	"only words that end in ""a"""
ic	2	relating to, characterized by	historic, meteoric, organic	history, meteor, organ	verb	no	
sophic	6	wisdom, knowledge	philosophic, theosophic, anthroposophic	philosophy, theosophy, anthroposophy	noun	yes	
etic	4	relating to (makes the word an adj.)	athletic, energetic, poetic	athelete, energy, poem	noun	no	
oid	3	resembling	humanoid, paraboloid, parasitoid	human, parabola, parasite	noun	yes	last vowel needs to be removed
ward	4	specifies direction	backward, eastward, homeward	back, east, home	noun	yes	
ance	4	state or quality of	brilliance, defiance, annoyance	brilliant, defiant, annoying	adjective	yes	
ence	4	state or condition, action	absence, dependence, negligence	absent, dependent, negligible	adjective	yes	
ade	4	act, action or process, product	blockade, galopade, harlequinade,	block, galop, harlequin	noun	yes	
tude	4	state, condition or quality	infinitude, definitude, certitude	infinite, definite, certain	adjective	no	
age	3	action or process	passage, pilgrimage, voltage	pass, pilgrim, volt	noun	yes	
able	4	able to be	excitable, understandable, preventable	excite, understand, prevent	verb	yes	last vowel needs to be removed
ible	4	able to be	comprehensible, destructible, compressible	comprehend, destroy, compress	verb	yes	
ile	3	relating to, capable of	percentile, infantile, insectile	percent, infant, insect	noun	yes	
some	4	characterized by, group of	adventuresome, quarrelsome, troublesome	adventure, quarrel, trouble	noun	yes	
ine	3	relating to	canine, feminine, masculine	(all latin words)	noun	yes	
phone	5	sound	homophone, telephone, microphone	(all latin words)	adjective	yes	
ware	4	things of the same type or material	graniteware, laquerware, kitchenware	granite, laquer, kitchen	noun	yes	last vowel needs to be removed
ure	3	action, condition	closure, erasure, failure	close, erase,fail	verb	yes	last vowel needs to be removed
wise	4	in what manner or direction	clockwise, lengthwise, streetwise	clock, length, street	noun	yes	
ate	3	state or quality of (adj.)	affectionate, passionate, orchestrate	affection, passion, orchestra	noun	yes	last vowel needs to be removed
